sku,date,weekly_sales,weekly_onpromo
Bakery products,2013-01-06,110834.78311,0
Bakery products,2013-01-13,123906.70308,0
Bakery products,2013-01-20,129129.671075,0
Bakery products,2013-01-27,124825.94697,0
Bakery products,2013-02-03,125085.64284,0
Bakery products,2013-02-10,117968.46703,0
Bakery products,2013-02-17,127269.78486,0
Bakery products,2013-02-24,127837.98406,0
Bakery products,2013-03-03,133848.23092,0
Bakery products,2013-03-10,133264.13002,0
Bakery products,2013-03-17,132250.004,0
Bakery products,2013-03-24,129474.38883,0
Bakery products,2013-03-31,127917.32484,0
Bakery products,2013-04-07,142862.00215,0
Bakery products,2013-04-14,128565.75102,0
Bakery products,2013-04-21,133223.13897,0
Bakery products,2013-04-28,129895.29096,0
Bakery products,2013-05-05,150192.774225,0
Bakery products,2013-05-12,135477.68801,0
Bakery products,2013-05-19,141713.205044,0
Bakery products,2013-05-26,133782.81205,0
Bakery products,2013-06-02,146851.33301,0
Bakery products,2013-06-09,145425.22495,0
Bakery products,2013-06-16,133607.48303,0
Bakery products,2013-06-23,136035.82214,0
Bakery products,2013-06-30,134822.03692,0
Bakery products,2013-07-07,143737.449004,0
Bakery products,2013-07-14,127040.31505,0
Bakery products,2013-07-21,125461.99294,0
Bakery products,2013-07-28,121539.34999,0
Bakery products,2013-08-04,134399.792,0
Bakery products,2013-08-11,127419.25701,0
Bakery products,2013-08-18,129215.11011,0
Bakery products,2013-08-25,126987.34902,0
Bakery products,2013-09-01,138544.32996,0
Bakery products,2013-09-08,149392.444026,0
Bakery products,2013-09-15,137717.30603,0
Bakery products,2013-09-22,138689.98287,0
Bakery products,2013-09-29,138586.33002,0
Bakery products,2013-10-06,150034.83014,0
Bakery products,2013-10-13,136577.74419,0
Bakery products,2013-10-20,144461.74205,0
Bakery products,2013-10-27,133457.55304,0
Bakery products,2013-11-03,133695.7719,0
Bakery products,2013-11-10,139485.37194,0
Bakery products,2013-11-17,134889.58908,0
Bakery products,2013-11-24,135015.68295,0
Bakery products,2013-12-01,139446.27609,0
Bakery products,2013-12-08,141175.78395,0
Bakery products,2013-12-15,135805.54596,0
Bakery products,2013-12-22,133987.45897,0
Bakery products,2013-12-29,116948.671956,0
Bakery products,2014-01-05,148147.66395,0
Bakery products,2014-01-12,150693.08714,0
Bakery products,2014-01-19,145843.48405,0
Bakery products,2014-01-26,143995.53902,0
Bakery products,2014-02-02,140960.61586,0
Bakery products,2014-02-09,139088.874,0
Bakery products,2014-02-16,143258.05201,0
Bakery products,2014-02-23,136274.00206,0
Bakery products,2014-03-02,134169.13098,0
Bakery products,2014-03-09,154677.85195,0
Bakery products,2014-03-16,143328.28301,0
Bakery products,2014-03-23,145171.54604,0
Bakery products,2014-03-30,141425.14794,0
Bakery products,2014-04-06,147818.43792,2
Bakery products,2014-04-13,133594.64009,4
Bakery products,2014-04-20,130495.956074,11
Bakery products,2014-04-27,132481.01,24
Bakery products,2014-05-04,142335.3089,15
Bakery products,2014-05-11,129107.369894,11
Bakery products,2014-05-18,140314.36197,30
Bakery products,2014-05-25,140249.61509,39
Bakery products,2014-06-01,153867.42407,45
Bakery products,2014-06-08,157096.25206,49
Bakery products,2014-06-15,143689.93201,44
Bakery products,2014-06-22,148673.56612,82
Bakery products,2014-06-29,142638.320936,83
Bakery products,2014-07-06,159003.69784,74
Bakery products,2014-07-13,149369.32997,103
Bakery products,2014-07-20,154590.14301,93
Bakery products,2014-07-27,158613.14704,104
Bakery products,2014-08-03,176488.88078,126
Bakery products,2014-08-10,171475.89915,191
Bakery products,2014-08-17,166480.34412,173
Bakery products,2014-08-24,167991.91703,168
Bakery products,2014-08-31,173726.64205,180
Bakery products,2014-09-07,204241.16492,796
Bakery products,2014-09-14,193548.4952,1291
Bakery products,2014-09-21,193008.84803,1104
Bakery products,2014-09-28,178632.81402,691
Bakery products,2014-10-05,198606.11204,368
Bakery products,2014-10-12,180524.88183,246
Bakery products,2014-10-19,179388.32494,171
Bakery products,2014-10-26,169020.66408,184
Bakery products,2014-11-02,148960.35008,126
Bakery products,2014-11-09,184131.74893,105
Bakery products,2014-11-16,170741.43005,150
Bakery products,2014-11-23,168690.83303,169
Bakery products,2014-11-30,169609.43794,187
Bakery products,2014-12-07,178910.54601,240
Bakery products,2014-12-14,171818.9741,227
Bakery products,2014-12-21,174409.58289,257
Bakery products,2014-12-28,143877.53992,300
Bakery products,2015-01-04,173237.35906,357
Bakery products,2015-01-11,191790.20114,496
Bakery products,2015-01-18,185699.00494,527
Bakery products,2015-01-25,185399.45203000001,410
Bakery products,2015-02-01,184963.39895,327
Bakery products,2015-02-08,178881.94196999999,173
Bakery products,2015-02-15,160047.83295,142
Bakery products,2015-02-22,188940.24405,169
Bakery products,2015-03-01,184009.2181,154
Bakery products,2015-03-08,191492.78399,185
Bakery products,2015-03-15,181661.65713,191
Bakery products,2015-03-22,191580.66901,175
Bakery products,2015-03-29,184022.86702,193
Bakery products,2015-04-05,194358.32812,217
Bakery products,2015-04-12,189033.48894,130
Bakery products,2015-04-19,186723.37804,157
Bakery products,2015-04-26,185657.38393,454
Bakery products,2015-05-03,200944.91808,649
Bakery products,2015-05-10,196605.38503,651
Bakery products,2015-05-17,195195.93005,424
Bakery products,2015-05-24,186406.85392,270
Bakery products,2015-05-31,195917.10002,273
Bakery products,2015-06-07,202234.92821,230
Bakery products,2015-06-14,189221.96881,1411
Bakery products,2015-06-21,189350.96408,1405
Bakery products,2015-06-28,192371.14499,1355
Bakery products,2015-07-05,205728.20998,1255
Bakery products,2015-07-12,192324.43998,1257
Bakery products,2015-07-19,187456.621,1397
Bakery products,2015-07-26,187086.39511,1623
Bakery products,2015-08-02,196561.37802,1593
