sku,model_used,forecast_date,forecast_weekly_demand
Bakery products,ETS_AdditiveTrend,2017-08-27,155831.51880697822
Bakery products,ETS_AdditiveTrend,2017-09-03,155986.7124590805
Bakery products,ETS_AdditiveTrend,2017-09-10,156141.90611118282
Bakery products,ETS_AdditiveTrend,2017-09-17,156297.0997632851
Bakery products,ETS_AdditiveTrend,2017-09-24,156452.29341538742
Bakery products,ETS_AdditiveTrend,2017-10-01,156607.48706748974
Bakery products,ETS_AdditiveTrend,2017-10-08,156762.68071959203
Bakery products,ETS_AdditiveTrend,2017-10-15,156917.87437169434
Bakery products,ETS_AdditiveTrend,2017-10-22,157073.06802379663
Bakery products,ETS_AdditiveTrend,2017-10-29,157228.26167589895
Bakery products,ETS_AdditiveTrend,2017-11-05,157383.45532800126
Bakery products,ETS_AdditiveTrend,2017-11-12,157538.64898010355
Beverages,ARIMA_1_1_1,2017-08-27,552397.9843895932
Beverages,ARIMA_1_1_1,2017-09-03,695649.3555142523
Beverages,ARIMA_1_1_1,2017-09-10,794883.6471884506
Beverages,ARIMA_1_1_1,2017-09-17,863626.0582855875
Beverages,ARIMA_1_1_1,2017-09-24,911245.8780446925
Beverages,ARIMA_1_1_1,2017-10-01,944233.4791150903
Beverages,ARIMA_1_1_1,2017-10-08,967084.9268921822
Beverages,ARIMA_1_1_1,2017-10-15,982914.7735183364
Beverages,ARIMA_1_1_1,2017-10-22,993880.5576844831
Beverages,ARIMA_1_1_1,2017-10-29,1001476.8676941986
Beverages,ARIMA_1_1_1,2017-11-05,1006739.0472966246
Beverages,ARIMA_1_1_1,2017-11-12,1010384.3085001265
Ready meals,ETS_AdditiveTrend,2017-08-27,24736.739979910664
Ready meals,ETS_AdditiveTrend,2017-09-03,24345.785419727126
Ready meals,ETS_AdditiveTrend,2017-09-10,23954.830859543592
Ready meals,ETS_AdditiveTrend,2017-09-17,23563.876299360054
Ready meals,ETS_AdditiveTrend,2017-09-24,23172.921739176516
Ready meals,ETS_AdditiveTrend,2017-10-01,22781.967178992978
Ready meals,ETS_AdditiveTrend,2017-10-08,22391.012618809444
Ready meals,ETS_AdditiveTrend,2017-10-15,22000.058058625906
Ready meals,ETS_AdditiveTrend,2017-10-22,21609.103498442368
Ready meals,ETS_AdditiveTrend,2017-10-29,21218.14893825883
Ready meals,ETS_AdditiveTrend,2017-11-05,20827.19437807529
Ready meals,ETS_AdditiveTrend,2017-11-12,20436.239817891757
